id,name,stream,category,description,skills_needed,avg_salary_lpa,top_colleges,rating,reviews
14,CA CMA,Commerce,Finance,Chartered Accountant or Cost Management Accountant manages company finances auditing budgeting and taxation Requires passing ICAI exams in multiple stages,Accounting Mathematics Taxation Law Analytical Skills,15,Commerce Colleges ICAI Coaching,4.8,11000
15,BBA MBA,Commerce,Management,Study business administration and management Lead teams manage operations and drive business growth Work in marketing finance HR and operations across industries,Communication Leadership Marketing Finance Teamwork,10,IIM FMS Delhi XLRI Jamshedpur,4.7,18000
16,Economist,Commerce,Finance,Study analyze and forecast economic trends Work with government banks NGOs and research institutions Policy making data analysis and economic research,Mathematics Statistics Economics Research Analytical Thinking,8,DSE Delhi JNU Presidency College,4.6,8000
17,Hotel Management,Arts,Hospitality,Manage hotels resorts and hospitality businesses Front office food and beverage housekeeping and event management Work in five star hotels airlines and cruise ships,Communication Hospitality Management Food Knowledge Languages,5,IHM Pusa IHM Mumbai Welcomgroup,4.5,12000
18,Mass Communication,Arts,Media,Study media journalism advertising and public relations Work in TV radio digital media advertising agencies and PR firms Content creation and media management,Writing Communication Creativity Media Production Current Affairs,5,IIMC Symbiosis Xavier Institute,4.5,15000
19,Interior Designer,Arts,Design,Design functional and aesthetic interior spaces for homes offices and commercial spaces Space planning color theory AutoCAD and 3D visualization skills required,Creativity Drawing AutoCAD 3D Visualization Color Theory,6,NID CEPT Pearl Academy,4.6,10000
20,Pilot,Science,Aviation,Fly commercial or private aircraft for airlines Charter services and cargo Requires Class 2 medical fitness SPL CPL and ATPL licenses from DGCA,Mathematics Physics English Spatial Awareness Decision Making,20,Indira Gandhi Rashtriya Uran Akademi CAE Oxford,4.8,6000
21,Pharmacist,Science,Healthcare,Prepare and dispense medicines in hospitals pharmacies and pharmaceutical companies Drug knowledge patient counseling and quality control,Biology Chemistry Mathematics Attention to Detail,6,Manipal JSS Bombay College of Pharmacy,4.6,10000
22,Dentist,Science,Healthcare,Diagnose and treat oral health conditions including teeth gums and jaw Perform surgeries root canals and cosmetic dentistry,Biology Chemistry Communication Attention to Detail,8,Maulana Azad Manipal SDM Dharwad,4.7,8000
23,Veterinary Doctor,Science,Healthcare,Provide medical care to animals in clinics farms wildlife reserves and zoos BVSc degree and passion for animals required,Biology Chemistry Animal Handling Communication,7,IVRI Bareilly Bombay Veterinary GADVASU,4.7,6000
24,Nutritionist Dietitian,Science,Healthcare,Plan diets and nutrition programs for patients athletes and individuals BSc in Nutrition and Dietetics or MSc required,Biology Chemistry Communication Health Science,5,Lady Irwin College SNDT University Manipal,4.6,8000
25,Civil Services UPSC,Arts,Government,Become IAS IPS IFS IRS through UPSC Civil Services Examination Serve in administration police foreign service and revenue departments,General Knowledge Current Affairs Essay Writing Analytical Thinking,15,Delhi University JNU St Stephens Miranda House,4.9,10000
26,NDA Defence,Science,Defence,Join Indian Army Navy or Air Force through National Defence Academy Serve the nation with honour courage and discipline,Physical Fitness Mathematics English General Knowledge,10,NDA Pune Military Schools Sainik Schools,4.9,7000
27,Marine Engineer,Science,Engineering,Design operate and maintain ship engines and systems Work on cargo ships tankers cruise liners and offshore platforms,Mathematics Physics Engineering Marine Technology,12,Marine Engineering Research Institute IMU Chennai,4.7,4000
28,Biotechnology,Science,Science,Research and develop biological products medicines agricultural solutions and industrial processes using living organisms,Biology Chemistry Mathematics Research Laboratory Skills,8,IIT Manipal Amity VIT,4.6,8000
29,Environmental Scientist,Science,Science,Study environmental problems and develop solutions for pollution climate change and sustainability Field research data analysis and policy recommendations,Biology Chemistry Geography Research Field Work,6,IIT Delhi University TERI,4.6,6000
30,Actuarial Scientist,Commerce,Finance,Assess financial risks using mathematics statistics and probability Work in insurance companies banks and government agencies,Mathematics Statistics Probability Economics Analytical Thinking,18,Actuarial Society of India Delhi University,4.8,4000
31,Company Secretary,Commerce,Legal,Manage legal and regulatory compliance for companies CS course from ICSI required Work in corporate governance secretarial practice and legal compliance,Law Commerce Communication Corporate Governance,10,ICSI Coaching Commerce Colleges,4.7,8000
32,Financial Analyst,Commerce,Finance,Analyze financial data prepare investment reports and advise businesses on financial decisions Work in banks investment firms and MNCs,Mathematics Commerce Excel Financial Modeling Communication,10,IIM FMS Mumbai University,4.6,12000
33,Digital Marketing,Commerce,Marketing,Plan and execute online marketing campaigns SEO social media email marketing and content strategy Google Analytics and social media tools,Communication Creativity Analytics Social Media SEO,6,MICA Symbiosis Manipal,4.5,18000
34,Entrepreneur,Arts,Business,Build and scale your own business Requires leadership risk taking financial management and strong problem solving skills Any stream can become an entrepreneur,Leadership Risk Taking Financial Literacy Networking Creativity,0,IIM IIT Any College,4.9,25000
35,Event Manager,Arts,Management,Plan and execute events conferences weddings corporate events and festivals Coordination communication creativity and vendor management skills,Communication Creativity Organization Networking Management,5,NIEM Amity Symbiosis,4.5,10000
36,Social Worker,Arts,Social,Work with NGOs government and communities to improve lives of underprivileged people Child welfare women empowerment rural development and disability,Empathy Communication Social Science Leadership Field Work,4,TISS Delhi School of Social Work Madras,4.7,8000
37,Statistician,Science,Science,Collect analyze interpret and present data for research government and business Use statistical software like R SAS SPSS and Python,Mathematics Statistics Computer Science Research,8,ISI Kolkata Delhi University Pune University,4.7,6000
38,Animator,Arts,Design,Create animations for films television games and digital media 2D 3D animation VFX and motion graphics using Maya Blender After Effects,Creativity Drawing Computer Skills Storytelling Patience,6,NID Symbiosis Arena Animation,4.6,12000
39,Game Developer,Science,Technology,Design and develop video games using Unity or Unreal Engine Programming 3D modeling animation and creative thinking required,Programming Mathematics Creativity 3D Modeling Problem Solving,8,IIT NIT BITS Game Design Institutes,4.7,10000
40,Cybersecurity Analyst,Science,Technology,Protect computer systems and networks from cyber threats Monitor security breaches implement protective measures ethical hacking,Mathematics Programming Networking Analytical Thinking,12,IIT NIT Symbiosis,4.8,10000
41,AI ML Engineer,Science,Technology,Build and deploy artificial intelligence and machine learning models for real world applications Deep learning neural networks and MLOps,Mathematics Statistics Python TensorFlow PyTorch,15,IIT IISc BITS,4.9,8000
42,Cloud Engineer,Science,Technology,Design manage and optimize cloud infrastructure on AWS Azure and Google Cloud DevOps containerization and system design,Programming Mathematics Networking DevOps,12,IIT NIT BITS VIT,4.7,9000
43,UI UX Designer,Arts,Design,Create user friendly interfaces and experiences for web and mobile applications Figma Adobe XD wireframing prototyping and user research,Creativity Empathy Design Tools Research Communication,7,NID NIFT MIT Institute of Design,4.7,14000
44,Content Creator,Arts,Media,Create engaging content for YouTube Instagram blogs and podcasts Video editing photography storytelling and audience building,Creativity Communication Video Editing Photography Storytelling,3,Any College Self Taught,4.5,20000
45,Stock Market Analyst,Commerce,Finance,Analyze stock market trends advise investors and manage portfolios Work in broking firms mutual funds and as independent advisor,Mathematics Commerce Economics Research Analytical Thinking,10,NSE BSE Certified Courses Finance Colleges,4.6,8000
46,Bank PO,Commerce,Banking,Work as Probationary Officer in public or private sector banks through IBPS or SBI exams Branch management customer service and lending,Mathematics English Reasoning Commerce Banking Knowledge,8,Commerce Colleges Coaching Institutes,4.6,15000
47,Railway Engineer,Science,Government,Design build and maintain railway infrastructure and rolling stock through UPSC Engineering Services or RRB JE exams,Mathematics Physics Engineering Problem Solving,8,IIT NIT Government Engineering Colleges,4.7,12000
48,Space Scientist,Science,Science,Work at ISRO or research institutions on satellite launch vehicle and space mission development Physics mathematics and engineering excellence,Mathematics Physics Programming Research Analytical Thinking,10,IIT IISc BITS IIST Thiruvananthapuram,4.9,3000
49,Geologist,Science,Science,Study earth structure minerals rocks and natural resources Work in oil companies mining sector government geological surveys,Geography Physics Chemistry Field Work Research,7,IIT Kharagpur BHU Presidency College,4.6,5000
50,Agricultural Scientist,Science,Agriculture,Research and develop improved farming techniques crop varieties and agricultural policies Help farmers increase productivity and sustainability,Biology Chemistry Geography Field Work Research,6,IARI Delhi PAU Ludhiana ICAR Institutes,4.7,6000
51,Food Technologist,Science,Food,Develop improve and ensure safety of food products Work in food processing companies research labs and quality control departments,Biology Chemistry Mathematics Food Science,6,CFTRI Mysore IIT Kharagpur Amity,4.6,7000
52,Nuclear Scientist,Science,Science,Research nuclear energy nuclear medicine and radiation applications Work at BARC DAE and nuclear power plants,Physics Mathematics Chemistry Research Laboratory Skills,12,IIT Bombay Jadavpur BARC Training School,4.8,2000
53,Radiologist,Science,Healthcare,Interpret medical images like Xray MRI CT scan to diagnose diseases MBBS plus MD Radiodiagnosis required,Biology Chemistry Mathematics Attention to Detail,18,AIIMS JIPMER CMC Vellore,4.8,5000
54,Forensic Scientist,Science,Legal,Analyze physical evidence from crime scenes to assist in criminal investigations Work with police courts and government labs,Biology Chemistry Physics Analytical Thinking Attention to Detail,6,Osmania University NFSU Gandhinagar Panjab University,4.7,4000
55,Sports Coach,Arts,Sports,Train and develop athletes at school college national and international levels Specialise in cricket football tennis badminton or athletics,Physical Fitness Sports Knowledge Communication Leadership Patience,4,NSNIS Patiala SAI Centres Sports Universities,4.6,8000
56,Yoga Instructor,Arts,Wellness,Teach yoga meditation and wellness practices Work in gyms wellness centres corporate offices and online platforms,Physical Fitness Communication Patience Wellness Knowledge,3,Morarji Desai Institute Bihar Yoga Bharati,4.6,10000
57,Physiotherapist,Science,Healthcare,Treat physical injuries and disabilities through exercise therapy and rehabilitation BPT degree required Work in hospitals sports teams and clinics,Biology Physics Communication Empathy Patience,6,Manipal Amity AIIMS,4.7,8000
58,Occupational Therapist,Science,Healthcare,Help patients recover daily life skills after illness injury or disability Work in hospitals rehabilitation centres and schools,Biology Psychology Communication Empathy Problem Solving,5,AIIMS Manipal Christian Medical College,4.7,4000
59,Speech Therapist,Science,Healthcare,Assess and treat speech language and swallowing disorders Work with children adults stroke patients and individuals with autism,Biology Psychology Communication Patience Empathy,5,AIIMS NIMHANS Ali Yavar Jung Institute,4.7,4000
60,Criminologist,Arts,Legal,Study criminal behavior causes of crime and criminal justice systems Work with police courts NGOs and research institutions,Psychology Sociology Research Communication Analytical Thinking,6,TISS NLU Bangalore Delhi University,4.6,3000
61,Politician,Arts,Government,Serve public through elected positions in panchayat municipal corporation state assembly and parliament Leadership public speaking and people management,Communication Leadership Public Speaking Networking Social Work,0,Any College Life Experience,4.5,5000
62,Archaeologist,Arts,Science,Excavate and study ancient artifacts structures and civilizations to understand human history Work with ASI museums and universities,History Geography Research Field Work Patience,5,Deccan College Pune Delhi University Banaras Hindu University,4.6,3000
63,Librarian,Arts,Education,Manage library collections help researchers and promote reading and information literacy Work in school college public and special libraries,Organization Communication Computer Skills Subject Knowledge,4,Delhi University Jadavpur Pune University,4.5,6000
64,Philosopher,Arts,Education,Study fundamental questions about existence knowledge ethics and reality Teach at university level and write research papers,Reading Writing Analytical Thinking Research Communication,4,JNU Delhi University Hyderabad University,4.5,3000
65,Musician,Arts,Arts,Perform compose and teach music in classical folk jazz pop or film genres Work as performer music director session artist or teacher,Musical Instrument Creativity Dedication Riyaz Performance,3,KM Music Conservatory Shankar Mahadevan Academy,4.7,10000
66,Actor,Arts,Arts,Perform in films television OTT platforms theatre and web series Audition consistently build portfolio and develop acting craft,Acting Skills Dedication Communication Physical Fitness,2,FTII Pune NSD Delhi Barry John Acting Studio,4.6,8000
67,Painter Artist,Arts,Arts,Create original artwork in painting sculpture installation or digital art Exhibit in galleries participate in residencies and sell work,Creativity Drawing Dedication Patience Art History,2,JJSA Mumbai Faculty of Fine Arts Baroda,4.6,5000
68,Radio Jockey,Arts,Media,Host radio shows entertain listeners announce music and conduct interviews Strong voice personality and quick wit required,Communication Voice Modulation Music Knowledge Entertainment,4,IIMC Symbiosis Xavier Institute Radio Stations,4.5,8000
69,Travel Blogger,Arts,Media,Create travel content for blogs YouTube Instagram and podcasts Combine passion for travel with storytelling photography and social media,Creativity Writing Photography Social Media Communication,2,Any College Self Taught,4.4,10000
70,Yoga Therapist,Science,Healthcare,Use yoga as therapy for specific health conditions like diabetes hypertension anxiety and chronic pain,Biology Yoga Knowledge Communication Empathy Patience,5,Morarji Desai Institute SVYASA Bangalore,4.7,6000
71,Naturopath,Science,Healthcare,Treat patients using natural remedies herbs nutrition and lifestyle changes BNYS degree required,Biology Botany Chemistry Communication Holistic Thinking,5,SDM College of Naturopathy Government Naturopathy Colleges,4.6,5000
72,Clinical Psychologist,Science,Healthcare,Provide therapy and psychological assessment for mental health conditions Work in hospitals private practice and research,Psychology Biology Communication Research Empathy,8,NIMHANS TISS AIIMS,4.8,6000
73,Cardiologist,Science,Healthcare,Diagnose and treat heart diseases MBBS plus MD Internal Medicine plus DM Cardiology required,Biology Chemistry Mathematics Analytical Thinking,25,AIIMS JIPMER PGIMER Chandigarh,4.9,3000
74,Neurologist,Science,Healthcare,Diagnose and treat disorders of nervous system brain and spinal cord MBBS plus MD plus DM Neurology required,Biology Chemistry Mathematics Attention to Detail,22,AIIMS NIMHANS CMC Vellore,4.9,3000
75,Oncologist,Science,Healthcare,Diagnose and treat cancer through chemotherapy radiation surgery and immunotherapy MBBS plus MD plus DM Oncology required,Biology Chemistry Mathematics Empathy,20,AIIMS Tata Memorial PGIMER,4.9,3000
76,Dermatologist,Science,Healthcare,Diagnose and treat skin hair and nail conditions MBBS plus MD Dermatology required Cosmetic dermatology is a growing field,Biology Chemistry Communication Attention to Detail,18,AIIMS Manipal Kasturba Medical College,4.8,4000
77,Orthopedic Surgeon,Science,Healthcare,Treat bone joint and muscle injuries and disorders through surgery and rehabilitation MBBS plus MS Orthopedics required,Biology Chemistry Mathematics Physical Strength,20,AIIMS JIPMER Maulana Azad Medical College,4.8,3000
78,Plastic Surgeon,Science,Healthcare,Perform reconstructive and cosmetic surgeries MBBS plus MS Surgery plus MCh Plastic Surgery required Growing field with reconstructive and aesthetic work,Biology Chemistry Mathematics Creativity,25,AIIMS Safdarjung Hospital Lokmanya Tilak,4.8,2000
79,Pediatrician,Science,Healthcare,Provide medical care for infants children and adolescents MBBS plus MD Pediatrics required Work in hospitals clinics and community health,Biology Chemistry Communication Empathy,15,AIIMS JIPMER CMC Vellore,4.8,4000
80,Psychiatrist,Science,Healthcare,Diagnose and treat mental health disorders using medication therapy and counseling MBBS plus MD Psychiatry required,Biology Psychology Communication Empathy,15,NIMHANS AIIMS JIPMER,4.8,4000
81,Ayurvedic Doctor,Science,Healthcare,Practice traditional Indian medicine using herbs yoga and Panchakarma BAMS degree required Growing demand in wellness sector,Biology Botany Sanskrit Communication Holistic Thinking,6,BHU Varanasi Gujarat Ayurved University,4.7,8000
82,Homeopathic Doctor,Science,Healthcare,Practice homeopathy medicine using highly diluted natural substances BHMS degree required Work in own clinic or hospitals,Biology Chemistry Communication Patience,5,Nehru Homeopathic Medical College Mumbai University,4.6,7000
83,Bank Manager,Commerce,Banking,Manage bank branch operations lending customer service and team leadership Promoted from Bank PO with experience,Mathematics Commerce Leadership Communication Customer Service,12,Commerce Colleges IBPS SBI,4.6,10000
84,Insurance Advisor,Commerce,Finance,Advise clients on insurance products life health and general Work with LIC private insurers or as independent broker,Communication Commerce Mathematics Persuasion Customer Service,4,IRDA Certified Courses Commerce Colleges,4.4,10000
85,Tax Consultant,Commerce,Finance,Advise businesses and individuals on tax planning GST income tax and compliance Work in CA firms or independently,Commerce Law Mathematics Taxation Communication,8,Commerce Colleges ICAI Coaching,4.6,8000
86,Supply Chain Manager,Commerce,Management,Manage procurement logistics warehousing and distribution Work in manufacturing retail ecommerce and FMCG companies,Commerce Mathematics Communication Technology Logistics,10,IIM XLRI Symbiosis,4.6,8000
87,HR Manager,Commerce,Management,Manage recruitment training employee relations and organizational development Work in corporates startups and MNCs,Communication Psychology Commerce Leadership Empathy,8,XLRI Tata Institute Symbiosis,4.5,12000
88,Marketing Manager,Commerce,Marketing,Plan and execute marketing strategies for brands products and services Work in FMCG advertising agencies and startups,Communication Creativity Commerce Analytics Leadership,10,IIM FMS Delhi Symbiosis,4.6,15000
89,Operations Manager,Commerce,Management,Oversee day to day operations of businesses to ensure efficiency and productivity Work in manufacturing logistics retail and services,Mathematics Commerce Leadership Problem Solving Communication,10,IIM XLRI Symbiosis,4.6,10000
90,Retail Manager,Commerce,Management,Manage retail stores chains and ecommerce operations Customer service inventory sales and team management,Communication Commerce Leadership Customer Service Mathematics,6,IIM Retail Management Institutes,4.5,12000
91,Investment Banker,Commerce,Finance,Help companies raise capital through IPOs bonds mergers and acquisitions Work in top investment banks at high salaries,Mathematics Commerce Economics Analytical Thinking Communication,20,IIM FMS Delhi SRCC,4.8,5000
92,Venture Capitalist,Commerce,Finance,Invest in early stage startups evaluate business plans and help companies grow Network with entrepreneurs and exit through IPO or acquisition,Mathematics Commerce Risk Analysis Networking Business Acumen,25,IIM IIT Industry Experience,4.8,2000
93,Economist Policy Maker,Commerce,Government,Research economic policies advise government on fiscal monetary and trade policies Work at RBI Finance Ministry NITI Aayog,Mathematics Economics Statistics Research Communication,15,DSE Delhi JNU Presidency College,4.7,3000
94,Urban Planner,Science,Government,Design and develop urban spaces cities and infrastructure for sustainable growth Work with government bodies real estate and architecture firms,Geography Mathematics Drawing AutoCAD Communication,8,SPA Delhi CEPT Ahmedabad IIT Kharagpur,4.6,4000
95,Geospatial Analyst,Science,Technology,Use GIS satellite imagery and mapping tools to analyze geographic data Work in urban planning disaster management and environmental monitoring,Geography Mathematics Computer Skills Remote Sensing,7,IIT Roorkee Anna University ISRO,4.6,4000
96,Meteorologist,Science,Science,Study weather patterns climate and atmospheric conditions Work with IMD aviation agriculture and disaster management,Physics Mathematics Geography Computer Skills,7,Pune University Delhi University IIT,4.6,3000
97,Oceanographer,Science,Science,Study oceans marine life underwater geography and ocean resources Work with INCOIS NIO government and shipping industry,Biology Physics Geography Research Field Work,7,Goa University Annamalai University Cochin University,4.6,2000
98,Wildlife Biologist,Science,Science,Study animal behavior ecology and conservation Work in wildlife sanctuaries national parks research institutes and NGOs,Biology Geography Field Work Research Patience,6,Wildlife Institute of India NCBS Manipal,4.7,3000
99,Ethical Hacker,Science,Technology,Find and fix security vulnerabilities in computer systems Certified Ethical Hacker CEH OSCP certifications required Work in IT security firms,Programming Mathematics Networking Analytical Thinking,12,IIT NIT Symbiosis EC Council Certified,4.8,8000
100,Robotics Engineer,Science,Technology,Design build and program robots for manufacturing healthcare agriculture and space Interdisciplinary field combining mechanical electrical and computer engineering,Mathematics Physics Programming Electronics Creativity,12,IIT NIT BITS IIST,4.8,4000
